"","id","ph_rt","ph_err","nw_rt","nw_err"
"1","6101",6.50417644345519,0.0166666666666667,6.47901436170351,0.0166666666666667
"2","6102",6.66624166840162,0.116666666666667,6.56932427823111,0.0166666666666667
"3","6103",6.51483405122189,0.116666666666667,6.49027152658204,0.0833333333333333
"4","6104",6.73034106194018,0.0666666666666667,6.67833130322113,0.0166666666666667
"5","6105",6.57251930164466,0.0333333333333333,6.54038292166079,0
"6","6106",6.49491540432812,0.05,6.42645341110826,0.0166666666666667
"7","6107",6.74274208420559,0.233333333333333,6.7239852294301,0.0833333333333333
"8","6108",6.84167780952444,0.0833333333333333,6.73438202007659,0.0666666666666667
"9","6109",6.77865692322755,0.0666666666666667,6.74537735388527,0
"10","6110",6.57064845458541,0.0833333333333333,6.52698182452113,0.0166666666666667
"11","6111",6.56207428948804,0.0666666666666667,6.52989795759194,0.0333333333333333
"12","6112",6.62881825668379,0.1,6.56626646553836,0.05
"13","6113",6.59644620374912,0.0333333333333333,6.51074891219412,0
"14","6114",6.92997981079741,0.483333333333333,6.74091318203487,0.383333333333333
"15","6115",6.51010626232641,0.116666666666667,6.47526371731983,0.0333333333333333
"16","6116",6.64198593592781,0,6.57059751293692,0.0166666666666667
"17","6117",6.58491351670004,0.0666666666666667,6.56757971397568,0.05
"18","6118",6.37422427050478,0.0166666666666667,6.31752148194062,0
"19","6119",6.44000782244576,0.0166666666666667,6.40495877696858,0
"20","6120",6.36474025553435,0.166666666666667,6.4017437468335,0.05
"21","6121",6.55331189002672,0.0333333333333333,6.47314218161341,0
"22","6122",6.86954465949815,0.0166666666666667,6.82211294159192,0
"23","6123",6.86157703823753,0.183333333333333,6.78669042559907,0.1
"24","6124",6.56029227505779,0.0166666666666667,6.53100784736771,0.0333333333333333
"25","6125",7.23553885414205,0.116666666666667,7.09472850714967,0.0666666666666667
"26","6126",6.7356266159115,0.1,6.70303919790106,0.0166666666666667
"27","6127",6.65357880042252,0.116666666666667,6.62103375775977,0.0166666666666667
"28","6128",6.51926844535503,0.0166666666666667,6.47995053374808,0.0166666666666667
"29","6129",6.53445425107389,0.05,6.44838446611059,0.0166666666666667
"30","6130",6.61758695349428,0.0666666666666667,6.55115580145468,0.0333333333333333
